idinterrupcion,eps,sede,tipointerrupcion,tiposervicio,motivointerrupcion,fechainicio,horainicio,fechafin,horafin,departamento,provincia,distrito,numconexdom,unidadesuso,numcamionespuntos,inicio_dt,fin_dt,duracion_horas,mes
63f604c9d6eaa9ec481aefd1f46f6fd6,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230302,00:40:00,20230302,18:30:00,LIMA,LIMA,SAN JUAN DE MIRAFLORES,3128,4738,NA,2023-03-02,2023-03-03,24,2023-03-01
4f0780b66a5c12cfd8cd7eb3468c2363,SEDAPAL,ATE,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,20230314,14:00:00,20230314,20:00:00,LIMA,LIMA,LA MOLINA,135,675,NA,2023-03-15,2023-03-15,0,2023-03-01
2ac4fed8be080097e90c110a11efb6d2,SEDAPAL,COMAS,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,20230309,12:00:00,20230309,19:00:00,LIMA,LIMA,INDEPENDENCIA,12056,13052,NA,2023-03-09,2023-03-10,24,2023-03-01
2da96c105a29beafdeae6e7fee6755ce,EPS EMAPA HUANCAVELICA,EMAPA HUANCAVELICA,IMPREVISTA,AGUA POTABLE,LINEA DE CONDUCCION DE AGUA TRATADA,20230301,16:30:00,20230302,12:00:00,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,2598,2598,2,2023-03-02,2023-03-02,0,2023-03-01
de4c6ed1441fda91aece22db84e07d8f,SEDAPAL,SJL,IMPREVISTA,AGUA POTABLE,CORTE DE SERVICIO DE ELECTRICIDAD,20230301,21:40:00,20230301,23:55:00,LIMA,LIMA,SAN JUAN DE LURIGANCHO,9387,14419,NA,2023-03-02,2023-03-02,0,2023-03-01
2dc06a36cce0d183f9e37417422c6c20,SEDAPAL,SURQUILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230301,19:05:00,20230301,23:55:00,LIMA,LIMA,SANTIAGO DE SURCO,12141,18513,NA,2023-03-02,2023-03-02,0,2023-03-01
aadc82a3c11239ce6341cef31e09ee64,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230301,18:25:00,20230302,05:00:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,890,890,NA,2023-03-02,2023-03-02,0,2023-03-01
e8dee97c92bc2a2c36c184626f0af84c,EMAPA HUARAL,EMAPA HUARAL,IMPREVISTA,AGUA POTABLE,OTROS,20230301,08:00:00,20230301,18:30:00,LIMA,HUARAL,NA,0,0,NA,2023-03-01,2023-03-02,24,2023-03-01
bf20c81697a4dfbdc9d5abbf09c110c8,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20230301,17:00:00,20230301,23:55:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,7811,11841,NA,2023-03-02,2023-03-02,0,2023-03-01
3476571d45047614005285b4feb51020,SEDA AYACUCHO,HUAMANGA,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230301,13:20:00,20230301,16:40:00,AYACUCHO,HUAMANGA,JESUS NAZARENO,70,0,NA,2023-03-02,2023-03-02,0,2023-03-01
1f97ddc8fb4f111e4bbc92642bf7190c,EPS SEDAJULIACA,EPS SEDAJULIACA,IMPREVISTA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,20230301,09:30:00,20230302,04:00:00,PUNO,SAN ROMAN,JULIACA,63145,63145,0,2023-03-01,2023-03-02,24,2023-03-01
